,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__gamma,param_svc__kernel,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
19,0.003697109222412109,0.0002439144603153121,0.0030398845672607424,0.0001397032294705371,1,scale,sigmoid,"{'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.953125,0.96875,0.9523809523809523,0.8888888888888888,0.9523809523809523,0.9431051587301587,0.027819200973549778,34,0.9625,0.975,0.9615384615384616,0.9022435897435898,0.9615384615384616,0.9525641025641025,0.025672256621230207,34,0.9444444444444444,0.9615384615384616,0.9444444444444444,0.8818458417849899,0.9444444444444444,0.9353435273313568,0.027555968550680165,35
20,0.0034356117248535156,0.00012682837609302475,0.002823162078857422,0.0001705792812443175,1,auto,linear,"{'svc__C': 1, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.96875,0.984375,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9811011904761905,0.006176342228679897,3,0.975,0.9875,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9848076923076924,0.004905417043515153,3,0.9615384615384616,0.98,0.98,0.98,0.98,0.9763076923076923,0.007384615384615366,4
21,0.003864479064941406,0.00020107880906725272,0.0029025554656982424,8.716322396212801e-05,1,auto,poly,"{'svc__C': 1, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.96875,0.984375,0.9841269841269841,0.9841269841269841,1.0,0.9842757936507937,0.009882864607470057,1,0.975,0.9875,0.9871794871794872,0.9871794871794872,1.0,0.9873717948717949,0.007907253305184249,1,0.9615384615384616,0.98,0.98,0.98,1.0,0.9803076923076922,0.012168443035867801,1
22,0.0034552574157714843,0.00013735158391874657,0.0032898426055908204,0.00013158991605302759,1,auto,rbf,"{'svc__C': 1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.953125,0.984375,0.9841269841269841,0.9365079365079365,0.9841269841269841,0.9684523809523811,0.020001461468711554,19,0.9625,0.9875,0.9871794871794872,0.9487179487179487,0.9871794871794872,0.9746153846153847,0.016119468915150707,17,0.9444444444444444,0.98,0.98,0.9285714285714286,0.98,0.9626031746031746,0.02188994207671515,19
23,0.003761005401611328,9.669716761588283e-05,0.0031589984893798826,7.467951932235916e-05,1,auto,sigmoid,"{'svc__C': 1, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.953125,0.96875,0.9523809523809523,0.9206349206349206,0.9682539682539683,0.9526289682539681,0.017481160899510035,33,0.9625,0.975,0.9615384615384616,0.9358974358974359,0.9743589743589743,0.9618589743589745,0.014166521637498727,33,0.9444444444444444,0.9615384615384616,0.9444444444444444,0.9137931034482758,0.9615384615384616,0.9451517830828176,0.017443703195926204,33
24,0.0035124778747558593,9.125442383370246e-05,0.002756500244140625,0.0001269870800622459,1,0.1,linear,"{'svc__C': 1, 'svc__gamma': 0.1, 'svc__kernel': 'linear'}",0.96875,0.984375,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9811011904761905,0.006176342228679897,3,0.975,0.9875,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9848076923076924,0.004905417043515153,3,0.9615384615384616,0.98,0.98,0.98,0.98,0.9763076923076923,0.007384615384615366,4
25,0.003164863586425781,6.0477653605281e-05,0.002559518814086914,4.0573939017115596e-05,1,0.1,poly,"{'svc__C': 1, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.96875,0.96875,0.9841269841269841,0.9682539682539683,0.9841269841269841,0.9748015873015874,0.0076163086181226854,9,0.975,0.9666666666666667,0.9871794871794872,0.9743589743589743,0.9871794871794872,0.9780769230769231,0.007989967410709193,10,0.9615384615384616,0.9666666666666667,0.98,0.9615384615384616,0.98,0.9699487179487178,0.008417757755357186,10
26,0.003096771240234375,6.716389751125987e-05,0.0027728557586669924,6.119335058502359e-05,1,0.1,rbf,"{'svc__C': 1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.953125,0.984375,0.9841269841269841,0.9365079365079365,0.9841269841269841,0.9684523809523811,0.020001461468711554,19,0.9625,0.9875,0.9871794871794872,0.9487179487179487,0.9871794871794872,0.9746153846153847,0.016119468915150707,17,0.9444444444444444,0.98,0.98,0.9285714285714286,0.98,0.9626031746031746,0.02188994207671515,19
27,0.0033920764923095702,6.39122971090712e-05,0.002643108367919922,3.339630747229612e-05,1,0.1,sigmoid,"{'svc__C': 1, 'svc__gamma': 0.1, 'svc__kernel': 'sigmoid'}",0.9375,0.875,0.873015873015873,0.8412698412698413,0.9365079365079365,0.8926587301587302,0.03813655167217131,40,0.95,0.8916666666666666,0.8974358974358974,0.8637820512820513,0.9487179487179487,0.9103205128205127,0.03384858188649112,38,0.9285714285714286,0.8686274509803922,0.875,0.8432459677419355,0.9285714285714286,0.8888032551730369,0.03416452720925902,40
28,0.003124570846557617,0.00010350591622732184,0.002525138854980469,4.206082160515447e-05,1,1,linear,"{'svc__C': 1, 'svc__gamma': 1, 'svc__kernel': 'linear'}",0.96875,0.984375,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9811011904761905,0.006176342228679897,3,0.975,0.9875,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9848076923076924,0.004905417043515153,3,0.9615384615384616,0.98,0.98,0.98,0.98,0.9763076923076923,0.007384615384615366,4
